ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Time_taken(min),Distance_bet_rest_delivery_km,order_Drinks ,order_Meal ,order_Snack ,vehicle_electric_scooter ,vehicle_motorcycle ,vehicle_scooter 
B962,CHENRES11DEL03,35,4.1,37,13.942135995521298,False,False,False,False,True,False
633C,BANGRES010DEL03,39,4.6,44,13.945658037651098,True,False,False,False,False,True
2DC6,VADRES20DEL01,34,4.7,28,6.049848888721861,True,False,False,True,False,False
903A,BANGRES11DEL01,27,4.7,42,17.04433026158702,False,False,True,False,False,True
C444,DEHRES01DEL01,30,4.8,25,17.259376716936664,False,False,True,False,True,False
1FB7,CHENRES02DEL01,25,4.4,39,17.039320664078645,False,False,True,False,False,True
34D7,MUMRES04DEL01,25,4.7,20,16.790293751513897,False,True,False,False,True,False
156B,JAPRES03DEL02,30,5.0,31,2.976038261804114,False,False,False,False,True,False
56AD,HYDRES04DEL03,24,4.6,13,9.204543446314432,False,False,False,False,True,False
837C,PUNERES14DEL02,39,4.8,28,7.648215327844156,False,True,False,False,True,False
CBC4,GOARES04DEL01,25,4.8,19,6.164026189217134,False,False,True,False,False,True
C19E,AURGRES08DEL02,37,4.6,42,12.189899417672075,False,False,False,False,True,False
1D60,BANGRES12DEL01,24,5.0,23,1.5496181081271545,True,False,False,False,True,False
95FB,HYDRES05DEL01,25,4.2,39,16.872927418719993,False,True,False,False,True,False
8195,RANCHIRES17DEL01,32,4.6,25,1.507218847377163,True,False,False,False,True,False
C042,AGRRES010DEL01,34,4.7,15,6019.211230800505,True,False,False,False,False,True
6D19,INDORES12DEL02,38,4.9,15,3.020706639820848,True,False,False,False,False,True
3.5E+07,JAPRES15DEL03,36,4.8,15,13.391515800864783,False,False,False,True,False,False
B437,SURRES16DEL01,25,5.0,15,16.695945260595646,False,True,False,False,True,False
9.7E+04,MYSRES16DEL02,29,5.0,18,7.756832982430433,True,False,False,False,True,False
A3E0,MUMRES05DEL03,36,4.7,29,13.750484667228939,True,False,False,True,False,False
4161,COIMBRES19DEL02,33,4.7,20,7.774259486970199,False,False,True,False,True,False
1236,MYSRES07DEL01,36,4.4,39,6.2054267911859675,False,True,False,False,False,True
2558,PUNERES17DEL01,21,4.8,19,16.824024800777703,False,False,True,False,True,False
3185,HYDRES19DEL03,25,4.8,19,4.601882860108752,False,False,True,False,False,True
3C57,MUMRES14DEL02,23,4.8,17,19.846613904419858,False,True,False,False,True,False
4863,COIMBRES02DEL01,25,4.6,15,1.55490238236473,False,False,True,False,True,False
6757,INDORES05DEL02,24,4.3,19,3.020916215301368,False,True,False,False,True,False
22AD,BANGRES03DEL03,27,4.6,29,13.94442758388673,False,False,False,False,True,False
9F99,MUMRES11DEL01,23,4.8,22,16.80256330471995,False,False,True,False,False,True
6781,MYSRES12DEL02,21,4.3,42,20.16747676677057,True,False,False,False,False,True
1B8D,SURRES09DEL02,27,4.7,12,3.035902790349682,False,False,True,False,False,True
1AEA,COIMBRES12DEL02,32,4.2,38,20.212460530271784,False,False,True,False,True,False
1E+42,SURRES08DEL01,25,4.6,23,16.6952795873628,True,False,False,False,True,False
DDC8,KNPRES05DEL02,39,4.7,15,2.980982302644137,False,True,False,False,False,True
24AC,SURRES05DEL02,27,4.6,24,12.142518774381282,False,False,True,False,True,False
3F01,MUMRES15DEL01,39,3.8,37,16.79399979607481,True,False,False,False,True,False
628C,BANGRES15DEL02,31,4.8,24,7.747259356563763,False,False,True,False,False,True
6C38,RANCHIRES11DEL03,31,4.8,13,9.043027721349308,False,False,False,True,False,False
4BEB,MYSRES08DEL01,20,4.8,16,1.5514770796415485,True,False,False,False,True,False
8339,RANCHIRES07DEL02,36,4.9,42,12.056953151950662,True,False,False,False,True,False
3EC5,RANCHIRES01DEL03,20,4.9,17,13.561204009757525,False,True,False,False,True,False
ADB4,JAPRES17DEL03,24,4.6,25,4.464417671579878,True,False,False,False,True,False
6E+02,VADRES06DEL01,29,4.6,25,16.635116893700506,False,False,True,True,False,False
2BC0,INDORES14DEL01,39,4.2,39,16.610672955997153,False,False,True,False,False,True
9.9E+08,COIMBRES17DEL01,37,4.8,18,6.219419664894865,False,True,False,False,False,True
39EF,CHENRES11DEL01,32,4.9,28,6.196805343667927,True,False,False,False,True,False
E264,KNPRES17DEL02,22,4.5,18,7.4519201744257,True,False,False,False,False,True
BD03,COIMBRES12DEL02,23,4.9,18,20.212460530271784,False,True,False,False,False,True
9A29,RANCHIRES04DEL01,33,4.7,49,16.577488524535227,False,False,True,False,False,True
D0E5,KOLRES17DEL03,23,4.6,15,4.53364788897892,True,False,False,False,True,False
A480,BANGRES19DEL02,27,4.6,21,12.396712257294284,True,False,False,False,True,False
B46C,MUMRES17DEL01,34,4.7,23,6.108440050157439,False,False,True,False,False,True
7150,SURRES14DEL01,26,5.0,11,1.5180601842214017,False,True,False,False,False,True
1E+58,VADRES14DEL03,31,4.6,25,9.074471773144202,False,False,True,False,True,False
4460,PUNERES09DEL02,32,4.9,18,3.059241752280784,False,False,True,False,True,False
977D,INDORES19DEL02,27,4.7,14,3.020731790895242,False,False,False,False,True,False
1602,BANGRES010DEL03,21,4.9,36,13.945658037651098,True,False,False,False,True,False
894E,BANGRES12DEL02,28,4.8,18,7.747793362638613,True,False,False,False,True,False
5A01,VADRES04DEL01,24,4.9,17,6.276138627413788,False,True,False,False,False,True
655,HYDRES14DEL01,33,4.4,28,1.534129114265342,False,False,True,False,True,False
20F6,BANGRES11DEL03,20,4.6,44,13.945629461520332,False,False,False,False,True,False
3DB1,COIMBRES13DEL03,31,4.3,20,9.329319541894728,False,False,True,False,True,False
1EC7,PUNERES05DEL03,29,4.6,19,4.588712137571156,False,False,True,False,False,True
8ED2,VADRES20DEL01,36,5.0,35,10.586720360323753,False,False,True,False,True,False
64CC,CHENRES19DEL01,31,4.2,50,17.042634005428827,False,True,False,False,True,False
2ED0,HYDRES02DEL03,39,4.1,34,9.204512751051547,False,True,False,False,False,True
4008,SURRES010DEL02,29,4.6,17,12.142670416282547,False,True,False,True,False,False
7553,SURRES03DEL01,29,4.6,23,6.071413761024368,False,False,True,False,False,True
35D8,COIMBRES17DEL03,37,4.9,27,4.6646029783419385,False,False,False,False,True,False
9832,VADRES08DEL01,33,4.7,26,6.276138627413788,False,False,True,False,True,False
4C88,MUMRES08DEL01,31,3.9,35,10.69100092566136,False,False,False,False,False,True
9693,VADRES18DEL01,37,4.6,41,6.276138627413788,True,False,False,False,True,False
81A5,BANGRES04DEL03,26,4.4,23,9.296531667508525,False,False,False,False,True,False
AE56,COIMBRES02DEL01,24,4.6,30,17.10252275797518,False,False,True,False,True,False
8D18,RANCHIRES12DEL02,23,4.8,19,3.1380694073889375,False,False,False,False,False,True
9CBA,VADRES18DEL01,36,4.9,27,1.5690347154047224,False,False,False,False,False,True
9B79,MYSRES13DEL01,39,4.8,28,6.205591081602371,False,False,True,False,True,False
596A,COIMBRES03DEL02,20,4.7,24,12.438452034187614,True,False,False,False,True,False
78AA,MYSRES16DEL02,20,5.0,36,20.166286848244525,False,True,False,False,True,False
D7EC,KOLRES04DEL03,29,4.3,28,9.067759514408273,False,False,False,False,True,False
55B1,COIMBRES11DEL01,36,4.8,31,17.103104604488404,True,False,False,False,True,False
8.7E+05,VADRES13DEL03,36,4.0,44,13.611105169020725,False,True,False,False,True,False
82C3,RANCHIRES04DEL02,22,4.8,15,12.056968418188383,True,False,False,False,False,True
5397,PUNERES18DEL01,38,4.4,33,10.704957546119868,False,False,False,False,True,False
876B,SURRES01DEL02,39,4.9,30,7.5891604266055,False,False,False,False,True,False
3A5A,INDORES08DEL02,24,4.9,22,7.551948584727422,False,False,True,False,False,True
5.1E+05,VADRES18DEL01,30,4.1,43,10.983241696284244,False,False,True,False,True,False
5631,HYDRES18DEL03,35,4.8,48,13.804873199406153,False,True,False,False,True,False
1DAC,CHENRES07DEL03,33,4.5,19,13.941657178556436,True,False,False,True,False,False
DE01,KOCRES010DEL01,39,4.7,21,10.900635211617388,False,False,True,False,True,False
8771,VADRES11DEL02,31,4.3,44,12.099040609550999,True,False,False,False,True,False
3645,CHENRES20DEL01,37,4.5,26,1.5495096221395899,True,False,False,False,False,True
1FF1,MYSRES04DEL03,37,4.7,26,4.654256824131882,False,False,False,False,False,True
4A3C,MUMRES13DEL01,33,5.0,31,1.5269331229160865,False,True,False,False,True,False
6E0D,RANCHIRES03DEL03,24,4.6,19,9.414207472710387,False,True,False,False,False,True
6CC6,JAPRES08DEL02,33,4.5,18,11.902924672837507,False,False,True,False,False,True
C141,ALHRES12DEL01,39,4.7,38,10.472797742862058,False,True,False,False,True,False
690F,RANCHIRES11DEL03,37,4.6,32,13.563852221699795,False,False,True,False,True,False
B4BA,HYDRES19DEL02,25,4.9,17,7.6696078159334125,False,True,False,False,False,True
63A9,PUNERES17DEL03,28,4.8,11,9.177365744557306,False,False,False,False,False,True
88DD,MYSRES010DEL01,38,4.7,31,6.205474967025106,False,False,False,False,True,False
1B58,JAPRES03DEL01,29,4.6,43,10.41513064614557,True,False,False,False,True,False
87A8,MYSRES04DEL03,31,4.6,25,9.308258482124039,False,True,False,False,True,False
3F8D,MUMRES06DEL03,25,4.8,22,9.164099415262326,False,False,True,False,True,False
290C,MYSRES18DEL01,35,4.9,43,10.858950700039365,True,False,False,False,True,False
7ECE,RANCHIRES18DEL01,39,4.7,42,10.550295445173377,False,False,False,False,True,False
1365,INDORES06DEL02,38,3.9,42,12.082423061297098,False,True,False,False,True,False
33A4,CHENRES15DEL03,35,4.7,34,4.647989333607506,True,False,False,False,True,False
8F3C,JAPRES07DEL02,29,4.7,17,2.977717993714077,False,False,True,False,True,False
2FE1,SURRES18DEL03,27,4.6,25,4.5541509794301644,False,False,True,False,False,True
4B5B,MYSRES04DEL03,38,4.3,54,13.962004343954739,False,True,False,False,True,False
7405,SURRES19DEL01,36,4.9,21,10.625702124383546,False,False,False,False,True,False
6245,HYDRES04DEL01,26,4.0,34,6.136519522327368,False,False,False,False,True,False
D02B,KNPRES16DEL03,26,4.1,36,13.41246037752413,False,True,False,False,True,False
1F0E,MYSRES12DEL03,36,4.9,17,9.308662119355633,True,False,False,False,True,False
7085,JAPRES09DEL01,21,4.7,16,1.4880598281970034,False,True,False,False,True,False
57FA,CHENRES04DEL02,35,4.7,27,12.39395555693745,False,True,False,True,False,False
57FC,MYSRES09DEL01,20,4.5,26,6.20545250887856,False,True,False,False,True,False
7A1F,PUNERES19DEL03,23,4.6,46,13.764250249667594,False,False,True,False,True,False
CEAC,KOLRES18DEL03,37,5.0,29,9.066849655818128,False,False,False,False,True,False
A0A5,BANGRES14DEL03,26,4.8,23,9.297076456518703,False,False,True,False,True,False
892D,SURRES09DEL02,29,5.0,11,12.142486110300185,False,False,True,False,False,True
6118,INDORES09DEL01,26,4.9,28,16.612635818204165,False,False,True,False,True,False
46FD,PUNERES09DEL03,29,4.8,25,9.177225998300312,False,True,False,False,True,False
5134,RANCHIRES01DEL02,29,4.7,11,3.013958870983999,False,False,True,False,True,False
D418,LUDHRES010DEL03,21,4.9,26,4.391724962431039,False,True,False,False,False,True
256C,MYSRES13DEL02,22,4.3,23,3.1028522086456105,False,True,False,False,True,False
6055,JAPRES18DEL02,31,4.0,39,11.902753837483976,False,False,True,False,True,False
7BFB,COIMBRES11DEL02,20,4.5,11,3.1098846908757523,False,False,True,False,True,False
7220,VADRES13DEL02,30,3.9,32,12.09895659021292,True,False,False,True,False,False
1568,BANGRES01DEL01,36,4.8,43,10.846831683112223,False,False,True,False,True,False
41EA,MYSRES08DEL01,24,4.7,13,6.205738534229064,False,False,False,False,False,True
1C60,MYSRES15DEL01,32,4.7,25,1.5513238067891462,False,False,False,True,False,False
7944,CHENRES02DEL03,25,5.0,27,9.294705791241629,True,False,False,False,True,False
77EE,HYDRES12DEL01,27,4.5,29,6.136227883482838,True,False,False,False,False,True
2192,BANGRES07DEL01,32,4.1,33,10.845889966900735,False,False,False,False,True,False
48C7,CHENRES09DEL01,23,4.7,19,6.19703893141132,True,False,False,False,True,False
78BF,BANGRES04DEL02,39,4.4,33,20.14112443663039,False,True,False,False,True,False
7A5A,VADRES04DEL03,20,4.8,28,9.414207472710387,False,False,True,False,True,False
4321,JAPRES13DEL02,20,4.8,15,11.905861749702474,True,False,False,True,False,False
E00D,ALHRES07DEL03,29,4.6,29,4.488577625714156,False,True,False,False,False,True
1E+86,JAPRES06DEL03,26,4.9,18,20.827572697496162,False,True,False,False,False,True
CFF0,KOCRES03DEL01,25,5.0,14,1.557337963675556,False,True,False,False,True,False
1E2D,BANGRES13DEL01,34,4.7,30,6.1983397369141935,False,False,True,False,True,False
D072,GOARES02DEL01,31,4.9,28,6.163798689174008,False,False,True,False,True,False
9A57,RANCHIRES03DEL02,24,4.7,39,20.397442775188328,False,False,True,False,True,False
427B,HYDRES12DEL03,30,4.9,30,13.805626960611738,False,True,False,False,True,False
5.2E+03,JAPRES07DEL02,36,4.8,36,19.351082464681973,False,False,False,False,True,False
9395,JAPRES13DEL03,36,4.4,37,20.832850885766774,False,False,True,False,True,False
B5D2,JAPRES18DEL03,26,4.7,43,20.827407215134496,False,True,False,False,True,False
6C4D,VADRES05DEL01,30,4.6,29,16.635239139962547,False,False,False,False,False,True
D1C8,AURGRES02DEL03,20,4.8,25,4.707104052532131,True,False,False,False,False,True
98CA,BANGRES17DEL02,33,4.7,15,7.747301749382407,False,False,False,True,False,False
1B5B,RANCHIRES14DEL01,29,4.6,24,10.983241696284244,False,False,True,False,False,True
644B,MUMRES20DEL03,34,4.0,39,13.743748712643285,False,False,True,False,True,False
7A2D,HYDRES14DEL02,36,4.6,20,12.271931674507936,False,False,False,False,True,False
E13F,KNPRES02DEL02,33,4.6,15,2.9810670001645105,False,False,False,False,True,False
C278,AURGRES19DEL01,22,4.8,16,16.760840661943323,True,False,False,False,True,False
5912,PUNERES18DEL01,38,4.7,19,1.5294048118807104,True,False,False,False,False,True
AB33,BANGRES08DEL02,27,4.9,20,12.396903135321155,True,False,False,False,False,True
DD96,KNPRES16DEL01,32,4.8,25,10.432310169081864,False,True,False,False,False,True
7646,BANGRES010DEL02,26,4.8,43,12.396259636749217,False,False,True,False,True,False
5EF5,INDORES03DEL02,29,4.5,15,19.630777254615126,True,False,False,False,True,False
7EF7,COIMBRES16DEL02,31,4.5,29,12.43875210831113,False,False,False,False,True,False
1136,HYDRES20DEL01,28,4.6,14,6.135383422532994,True,False,False,False,True,False
D032,AGRRES08DEL03,21,4.8,11,8.91888668509988,False,False,False,False,True,False
199D,COIMBRES15DEL02,21,4.0,19,7.774458242271917,False,False,False,False,True,False
871C,RANCHIRES12DEL02,30,4.9,29,12.552275755914394,True,False,False,False,True,False
CF18,ALHRES05DEL01,29,4.7,11,5.984484703059433,False,False,False,False,True,False
1DAD,MUMRES01DEL01,20,4.8,14,1.527154370684199,False,False,True,False,True,False
C918,AURGRES14DEL03,28,5.0,15,13.713493498525082,False,False,True,False,True,False
33C1,MUMRES13DEL01,25,4.7,16,10.687630840937123,False,True,False,False,True,False
1B50,PUNERES16DEL01,29,4.6,43,16.82376113749127,False,False,False,False,True,False
27FE,CHENRES14DEL02,38,4.8,20,3.0986894979955277,False,False,False,False,True,False
1536,HYDRES06DEL03,39,4.9,26,4.60191950861356,True,False,False,False,True,False
A152,SURRES18DEL03,26,4.9,26,9.107880591147303,False,False,True,False,False,True
9C9A,COIMBRES02DEL01,33,4.4,43,10.883781468541267,False,True,False,False,True,False
3052,VADRES13DEL03,24,4.6,25,9.074511964797063,False,False,True,False,True,False
1045,COIMBRES16DEL01,24,4.9,28,6.2195799756053045,False,False,False,False,True,False
2391,INDORES13DEL03,33,4.5,17,13.591743492035286,False,False,False,False,False,True
7DDD,INDORES12DEL03,35,4.2,44,13.591608297249033,True,False,False,False,True,False
279F,MUMRES13DEL03,27,4.2,33,13.740852946326266,False,False,False,False,True,False
E76,CHENRES06DEL02,29,4.6,19,7.746079097377241,False,False,True,False,False,True
AEFA,BANGRES06DEL03,29,4.5,15,4.64841181693955,False,False,True,False,True,False
DAD6,AGRRES11DEL02,34,4.7,27,19.321445595986216,False,False,False,False,False,True
C237,KNPRES15DEL02,20,4.7,25,2.9809448604624884,False,True,False,False,False,True
4EFC,VADRES13DEL01,29,4.8,18,6.049870868802052,True,False,False,False,True,False
6E+33,VADRES01DEL03,22,4.9,21,9.074580779980996,False,False,True,False,False,True
D92F,AGRRES03DEL01,35,4.9,53,10.405169702130612,False,False,False,False,True,False
D902,KOCRES14DEL01,32,4.4,42,17.129275527672867,True,False,False,False,True,False
D91A,LUDHRES18DEL01,28,4.9,20,16.10037667090034,False,False,True,False,True,False
4F0C,COIMBRES14DEL02,30,4.7,29,20.21236367487059,False,True,False,False,False,True
8456,CHENRES19DEL01,22,4.7,15,17.042634005428827,False,False,True,False,False,True
3329,COIMBRES15DEL02,36,4.7,30,7.774458242271917,False,False,False,False,True,False
1AA8,SURRES20DEL02,23,4.8,28,19.731429221614068,False,False,True,False,True,False
144D,INDORES18DEL02,22,4.8,19,3.0206490444019702,True,False,False,False,True,False
D27B,AURGRES04DEL02,29,4.5,15,19.807161975395392,False,True,False,False,True,False
ADD6,CHENRES01DEL01,34,4.9,50,17.04198395713032,False,False,False,False,True,False
7C60,BANGRES010DEL01,38,4.1,41,1.5496365009021706,False,False,False,False,True,False
4FB8,VADRES09DEL01,35,5.0,37,10.983241696284244,False,False,True,False,True,False
1406,VADRES15DEL03,38,4.7,28,9.414207472710387,True,False,False,False,False,True
C63E,DEHRES010DEL01,32,4.3,35,10.271454968582486,False,True,False,False,False,True
7B03,BANGRES07DEL01,20,4.5,27,10.845889966900735,False,False,False,False,True,False
4314,CHENRES05DEL02,25,4.9,43,12.393263757604263,False,False,False,False,True,False
9E5A,JAPRES06DEL03,29,4.5,12,8.927480425054231,False,True,False,False,False,True
C044,AGRRES12DEL03,32,4.7,31,6018.501935110026,False,True,False,False,False,True
D7D3,DEHRES12DEL02,39,4.1,39,20.397442775188328,True,False,False,False,True,False
70B1,VADRES01DEL01,31,4.4,47,16.635381027246595,False,False,False,False,True,False
5.9E+06,SURRES13DEL02,37,4.5,26,7.589543265875354,False,False,False,False,True,False
DEAC,LUDHRES05DEL03,36,4.9,31,13.172727967926338,False,False,True,True,False,False
A053,JAPRES16DEL03,37,3.8,42,20.8325750761678,False,False,True,False,True,False
4DB,PUNERES02DEL03,29,4.6,12,16626.0500160344,False,True,False,False,False,True
7031,COIMBRES14DEL01,38,4.9,25,6.219648077690683,False,False,True,False,False,True
D3BC,AGRRES010DEL02,37,4.4,39,11.891277192207589,True,False,False,False,True,False
8DE9,SURRES14DEL03,21,4.9,21,13.66085535805377,False,False,False,False,False,True
7C84,JAPRES04DEL03,35,4.9,18,4.464163123690179,False,True,False,True,False,False
96D2,JAPRES01DEL03,22,4.8,22,13.390793718689235,False,False,True,False,False,True
77B5,HYDRES010DEL02,28,4.8,23,3.068202713082747,False,False,False,False,True,False
75DC,MYSRES16DEL02,39,4.0,48,20.166286848244525,True,False,False,False,True,False
BE78,BANGRES15DEL02,29,4.5,13,12.39525675915564,False,False,True,False,False,True
35A2,CHENRES15DEL02,39,4.6,32,3.0986894561589557,True,False,False,False,True,False
416F,MYSRES05DEL02,25,4.9,16,20.166027529984316,False,False,True,True,False,False
A4F5,COIMBRES03DEL03,34,5.0,19,4.664610877378366,False,False,True,True,False,False
A4EB,BANGRES01DEL02,22,4.8,18,3.099243404030044,True,False,False,False,True,False
D4DA,KNPRES12DEL01,27,5.0,27,10.431932813898786,False,False,False,False,True,False
B59B,MUMRES010DEL01,28,4.5,25,10.692860419649532,True,False,False,False,True,False
4F73,COIMBRES20DEL03,32,5.0,31,4.664846958990213,True,False,False,False,False,True
6A7,RANCHIRES08DEL01,29,4.6,39,16.577783315974713,True,False,False,False,False,True
ADAE,HYDRES16DEL01,27,4.6,20,10.73767592244511,False,False,True,False,True,False
B785,MUMRES01DEL02,35,3.9,38,12.216036309455992,False,False,True,False,True,False
8366,MYSRES08DEL03,22,4.6,19,4.654346370086994,False,False,False,False,True,False
BFF2,AURGRES16DEL03,35,4.7,17,4.707104052532131,True,False,False,True,False,False
8F58,VADRES11DEL01,30,4.6,24,1.5125517325857614,False,False,False,False,True,False
247C,MYSRES09DEL02,39,4.8,26,3.102782976271217,True,False,False,False,False,True
43B9,HYDRES18DEL03,33,4.8,28,9.203603646445394,False,True,False,False,True,False
9E8A,PUNERES05DEL02,20,4.7,16,12.235732851647132,False,False,True,False,False,True
47AF,VADRES04DEL03,20,4.7,17,4.707104052532131,False,False,False,False,True,False
1B40,MYSRES02DEL03,34,4.2,24,9.308325333644872,False,False,True,False,True,False
B4FB,MYSRES03DEL01,22,4.7,24,10.859713679362844,False,True,False,False,True,False
B50,JAPRES16DEL02,37,4.3,34,2.9767694453812323,False,True,False,False,False,True
3376,MUMRES010DEL01,20,4.8,16,1.5276791467900743,False,False,True,False,True,False
